id,from_asset,to_asset,milestone_year,rep_period,capacity_coefficient,conversion_coefficient,time_block_start,time_block_end,solution
48,ensBE,demandBE,2030,1,1.0,1.0,48,48,0.0
49,ensBE,demandBE,2030,1,1.0,1.0,49,49,0.0
50,ensBE,demandBE,2030,1,1.0,1.0,50,50,0.0
51,ensBE,demandBE,2030,1,1.0,1.0,51,51,0.0
52,ensBE,demandBE,2030,1,1.0,1.0,52,52,0.0
53,ensBE,demandBE,2030,1,1.0,1.0,53,53,0.0
54,ensBE,demandBE,2030,1,1.0,1.0,54,54,0.0
55,ensBE,demandBE,2030,1,1.0,1.0,55,55,0.0
56,ensBE,demandBE,2030,1,1.0,1.0,56,56,0.0
57,ensBE,demandBE,2030,1,1.0,1.0,57,57,0.0
58,ensBE,demandBE,2030,1,1.0,1.0,58,58,0.0
59,ensBE,demandBE,2030,1,1.0,1.0,59,59,0.0
60,ensBE,demandBE,2030,1,1.0,1.0,60,60,0.0
61,ensBE,demandBE,2030,1,1.0,1.0,61,61,0.0
62,ensBE,demandBE,2030,1,1.0,1.0,62,62,0.0
63,ensBE,demandBE,2030,1,1.0,1.0,63,63,0.0
64,ensBE,demandBE,2030,1,1.0,1.0,64,64,0.0
65,ensBE,demandBE,2030,1,1.0,1.0,65,65,0.0
66,ensBE,demandBE,2030,1,1.0,1.0,66,66,0.0
67,ensBE,demandBE,2030,1,1.0,1.0,67,67,0.0
68,ensBE,demandBE,2030,1,1.0,1.0,68,68,0.0
69,ensBE,demandBE,2030,1,1.0,1.0,69,69,0.0
70,ensBE,demandBE,2030,1,1.0,1.0,70,70,0.0
71,ensBE,demandBE,2030,1,1.0,1.0,71,71,0.0
72,ensBE,demandBE,2030,1,1.0,1.0,72,72,0.0
73,ensBE,demandBE,2030,1,1.0,1.0,73,73,0.0
74,ensBE,demandBE,2030,1,1.0,1.0,74,74,0.0
75,ensBE,demandBE,2030,1,1.0,1.0,75,75,0.0
76,ensBE,demandBE,2030,1,1.0,1.0,76,76,0.0
77,ensBE,demandBE,2030,1,1.0,1.0,77,77,0.0
78,ensBE,demandBE,2030,1,1.0,1.0,78,78,0.0
79,ensBE,demandBE,2030,1,1.0,1.0,79,79,0.0
80,ensBE,demandBE,2030,1,1.0,1.0,80,80,0.0
81,ensBE,demandBE,2030,1,1.0,1.0,81,81,0.0
82,ensBE,demandBE,2030,1,1.0,1.0,82,82,0.0
83,ensBE,demandBE,2030,1,1.0,1.0,83,83,0.0
84,ensBE,demandBE,2030,1,1.0,1.0,84,84,0.0
85,ensBE,demandBE,2030,1,1.0,1.0,85,85,0.0
86,ensBE,demandBE,2030,1,1.0,1.0,86,86,0.0
87,ensBE,demandBE,2030,1,1.0,1.0,87,87,0.0
88,ensBE,demandBE,2030,1,1.0,1.0,88,88,0.0
89,ensBE,demandBE,2030,1,1.0,1.0,89,89,0.0
90,ensBE,demandBE,2030,1,1.0,1.0,90,90,0.0
91,ensBE,demandBE,2030,1,1.0,1.0,91,91,0.0
92,ensBE,demandBE,2030,1,1.0,1.0,92,92,0.0
93,ensBE,demandBE,2030,1,1.0,1.0,93,93,0.0
94,ensBE,demandBE,2030,1,1.0,1.0,94,94,0.0
95,ensBE,demandBE,2030,1,1.0,1.0,95,95,0.0
96,ensBE,demandBE,2030,1,1.0,1.0,96,96,0.0
97,ensBE,demandBE,2030,1,1.0,1.0,97,97,0.0
98,ensBE,demandBE,2030,1,1.0,1.0,98,98,0.0
99,ensBE,demandBE,2030,1,1.0,1.0,99,99,0.0
100,ensBE,demandBE,2030,1,1.0,1.0,100,100,0.0
101,ensBE,demandBE,2030,1,1.0,1.0,101,101,0.0
102,ensBE,demandBE,2030,1,1.0,1.0,102,102,0.0
103,ensBE,demandBE,2030,1,1.0,1.0,103,103,0.0
104,ensBE,demandBE,2030,1,1.0,1.0,104,104,0.0
105,ensBE,demandBE,2030,1,1.0,1.0,105,105,0.0
106,ensBE,demandBE,2030,1,1.0,1.0,106,106,0.0
107,ensBE,demandBE,2030,1,1.0,1.0,107,107,0.0
108,ensBE,demandBE,2030,1,1.0,1.0,108,108,0.0
109,ensBE,demandBE,2030,1,1.0,1.0,109,109,0.0
110,ensBE,demandBE,2030,1,1.0,1.0,110,110,0.0
111,ensBE,demandBE,2030,1,1.0,1.0,111,111,0.0
112,ensBE,demandBE,2030,1,1.0,1.0,112,112,0.0
113,ensBE,demandBE,2030,1,1.0,1.0,113,113,0.0
114,ensBE,demandBE,2030,1,1.0,1.0,114,114,0.0
115,ensBE,demandBE,2030,1,1.0,1.0,115,115,0.0
116,ensBE,demandBE,2030,1,1.0,1.0,116,116,0.0
117,ensBE,demandBE,2030,1,1.0,1.0,117,117,0.0
118,ensBE,demandBE,2030,1,1.0,1.0,118,118,0.0
119,ensBE,demandBE,2030,1,1.0,1.0,119,119,0.0
120,ensBE,demandBE,2030,1,1.0,1.0,120,120,0.0
121,ensBE,demandBE,2030,1,1.0,1.0,121,121,0.0
122,ensBE,demandBE,2030,1,1.0,1.0,122,122,0.0
123,ensBE,demandBE,2030,1,1.0,1.0,123,123,0.0
124,ensBE,demandBE,2030,1,1.0,1.0,124,124,0.0
125,ensBE,demandBE,2030,1,1.0,1.0,125,125,0.0
126,ensBE,demandBE,2030,1,1.0,1.0,126,126,0.0
127,ensBE,demandBE,2030,1,1.0,1.0,127,127,0.0
128,ensBE,demandBE,2030,1,1.0,1.0,128,128,0.0
129,ensBE,demandBE,2030,1,1.0,1.0,129,129,0.0
130,ensBE,demandBE,2030,1,1.0,1.0,130,130,0.0
131,ensBE,demandBE,2030,1,1.0,1.0,131,131,0.0
132,ensBE,demandBE,2030,1,1.0,1.0,132,132,0.0
133,ensBE,demandBE,2030,1,1.0,1.0,133,133,0.0
134,ensBE,demandBE,2030,1,1.0,1.0,134,134,0.0
135,ensBE,demandBE,2030,1,1.0,1.0,135,135,0.0
136,ensBE,demandBE,2030,1,1.0,1.0,136,136,0.0
137,ensBE,demandBE,2030,1,1.0,1.0,137,137,0.0
138,ensBE,demandBE,2030,1,1.0,1.0,138,138,0.0
139,ensBE,demandBE,2030,1,1.0,1.0,139,139,0.0
140,ensBE,demandBE,2030,1,1.0,1.0,140,140,0.0
141,ensBE,demandBE,2030,1,1.0,1.0,141,141,0.0
142,ensBE,demandBE,2030,1,1.0,1.0,142,142,0.0
143,ensBE,demandBE,2030,1,1.0,1.0,143,143,0.0
144,ensBE,demandBE,2030,1,1.0,1.0,144,144,0.0
145,ensBE,demandBE,2030,1,1.0,1.0,145,145,0.0
146,ensBE,demandBE,2030,1,1.0,1.0,146,146,0.0
147,ensBE,demandBE,2030,1,1.0,1.0,147,147,0.0
148,ensBE,demandBE,2030,1,1.0,1.0,148,148,0.0
149,ensBE,demandBE,2030,1,1.0,1.0,149,149,0.0
150,ensBE,demandBE,2030,1,1.0,1.0,150,150,0.0
151,ensBE,demandBE,2030,1,1.0,1.0,151,151,0.0
152,ensBE,demandBE,2030,1,1.0,1.0,152,152,0.0
153,ensBE,demandBE,2030,1,1.0,1.0,153,153,0.0
154,ensBE,demandBE,2030,1,1.0,1.0,154,154,0.0
155,ensBE,demandBE,2030,1,1.0,1.0,155,155,0.0
156,ensBE,demandBE,2030,1,1.0,1.0,156,156,0.0
157,ensBE,demandBE,2030,1,1.0,1.0,157,157,0.0
158,ensBE,demandBE,2030,1,1.0,1.0,158,158,0.0
159,ensBE,demandBE,2030,1,1.0,1.0,159,159,0.0
160,ensBE,demandBE,2030,1,1.0,1.0,160,160,0.0
161,ensBE,demandBE,2030,1,1.0,1.0,161,161,0.0
162,ensBE,demandBE,2030,1,1.0,1.0,162,162,0.0
163,ensBE,demandBE,2030,1,1.0,1.0,163,163,0.0
164,ensBE,demandBE,2030,1,1.0,1.0,164,164,0.0
165,ensBE,demandBE,2030,1,1.0,1.0,165,165,0.0
166,ensBE,demandBE,2030,1,1.0,1.0,166,166,0.0
167,ensBE,demandBE,2030,1,1.0,1.0,167,167,0.0
168,ensBE,demandBE,2030,1,1.0,1.0,168,168,0.0
169,ensBE,demandBE,2030,1,1.0,1.0,169,169,0.0
170,ensBE,demandBE,2030,1,1.0,1.0,170,170,0.0
171,ensBE,demandBE,2030,1,1.0,1.0,171,171,0.0
172,ensBE,demandBE,2030,1,1.0,1.0,172,172,0.0
173,ensBE,demandBE,2030,1,1.0,1.0,173,173,0.0
174,ensBE,demandBE,2030,1,1.0,1.0,174,174,0.0
175,ensBE,demandBE,2030,1,1.0,1.0,175,175,0.0
176,ensBE,demandBE,2030,1,1.0,1.0,176,176,0.0
177,ensBE,demandBE,2030,1,1.0,1.0,177,177,0.0
178,ensBE,demandBE,2030,1,1.0,1.0,178,178,0.0
179,ensBE,demandBE,2030,1,1.0,1.0,179,179,0.0
180,ensBE,demandBE,2030,1,1.0,1.0,180,180,0.0
181,ensBE,demandBE,2030,1,1.0,1.0,181,181,0.0
182,ensBE,demandBE,2030,1,1.0,1.0,182,182,0.0
183,ensBE,demandBE,2030,1,1.0,1.0,183,183,0.0
184,ensBE,demandBE,2030,1,1.0,1.0,184,184,0.0
185,ensBE,demandBE,2030,1,1.0,1.0,185,185,0.0
186,ensBE,demandBE,2030,1,1.0,1.0,186,186,0.0
187,ensBE,demandBE,2030,1,1.0,1.0,187,187,0.0
188,ensBE,demandBE,2030,1,1.0,1.0,188,188,0.0
189,ensBE,demandBE,2030,1,1.0,1.0,189,189,0.0
190,ensBE,demandBE,2030,1,1.0,1.0,190,190,0.0
191,ensBE,demandBE,2030,1,1.0,1.0,191,191,0.0
192,ensBE,demandBE,2030,1,1.0,1.0,192,192,0.0
193,ensBE,demandBE,2030,1,1.0,1.0,193,193,0.0
194,ensBE,demandBE,2030,1,1.0,1.0,194,194,0.0
195,ensBE,demandBE,2030,1,1.0,1.0,195,195,0.0
196,ensBE,demandBE,2030,1,1.0,1.0,196,196,0.0
197,ensBE,demandBE,2030,1,1.0,1.0,197,197,0.0
198,ensBE,demandBE,2030,1,1.0,1.0,198,198,0.0
199,ensBE,demandBE,2030,1,1.0,1.0,199,199,0.0
200,ensBE,demandBE,2030,1,1.0,1.0,200,200,0.0
201,ensBE,demandBE,2030,1,1.0,1.0,201,201,0.0
202,ensBE,demandBE,2030,1,1.0,1.0,202,202,0.0
203,ensBE,demandBE,2030,1,1.0,1.0,203,203,0.0
204,ensBE,demandBE,2030,1,1.0,1.0,204,204,0.0
205,ensBE,demandBE,2030,1,1.0,1.0,205,205,0.0
206,ensBE,demandBE,2030,1,1.0,1.0,206,206,0.0
207,ensBE,demandBE,2030,1,1.0,1.0,207,207,0.0
208,ensBE,demandBE,2030,1,1.0,1.0,208,208,0.0
209,ensBE,demandBE,2030,1,1.0,1.0,209,209,0.0
210,ensBE,demandBE,2030,1,1.0,1.0,210,210,0.0
211,ensBE,demandBE,2030,1,1.0,1.0,211,211,0.0
212,ensBE,demandBE,2030,1,1.0,1.0,212,212,0.0
213,ensBE,demandBE,2030,1,1.0,1.0,213,213,0.0
214,ensBE,demandBE,2030,1,1.0,1.0,214,214,0.0
215,ensBE,demandBE,2030,1,1.0,1.0,215,215,0.0
216,ensBE,demandBE,2030,1,1.0,1.0,216,216,0.0
217,ensBE,demandBE,2030,1,1.0,1.0,217,217,0.0
218,ensBE,demandBE,2030,1,1.0,1.0,218,218,0.0
219,ensBE,demandBE,2030,1,1.0,1.0,219,219,0.0
220,ensBE,demandBE,2030,1,1.0,1.0,220,220,0.0
221,ensBE,demandBE,2030,1,1.0,1.0,221,221,0.0
222,ensBE,demandBE,2030,1,1.0,1.0,222,222,0.0
223,ensBE,demandBE,2030,1,1.0,1.0,223,223,0.0
224,ensBE,demandBE,2030,1,1.0,1.0,224,224,0.0
225,ensBE,demandBE,2030,1,1.0,1.0,225,225,0.0
226,ensBE,demandBE,2030,1,1.0,1.0,226,226,0.0
227,ensBE,demandBE,2030,1,1.0,1.0,227,227,0.0
228,ensBE,demandBE,2030,1,1.0,1.0,228,228,0.0
229,ensBE,demandBE,2030,1,1.0,1.0,229,229,0.0
230,ensBE,demandBE,2030,1,1.0,1.0,230,230,0.0
231,ensBE,demandBE,2030,1,1.0,1.0,231,231,0.0
232,ensBE,demandBE,2030,1,1.0,1.0,232,232,0.0
233,ensBE,demandBE,2030,1,1.0,1.0,233,233,0.0
234,ensBE,demandBE,2030,1,1.0,1.0,234,234,0.0
235,ensBE,demandBE,2030,1,1.0,1.0,235,235,0.0
236,ensBE,demandBE,2030,1,1.0,1.0,236,236,0.0
237,ensBE,demandBE,2030,1,1.0,1.0,237,237,0.0
238,ensBE,demandBE,2030,1,1.0,1.0,238,238,0.0
239,ensBE,demandBE,2030,1,1.0,1.0,239,239,0.0
240,ensBE,demandBE,2030,1,1.0,1.0,240,240,0.0
241,ensBE,demandBE,2030,1,1.0,1.0,241,241,0.0
242,ensBE,demandBE,2030,1,1.0,1.0,242,242,0.0
243,ensBE,demandBE,2030,1,1.0,1.0,243,243,0.0
244,ensBE,demandBE,2030,1,1.0,1.0,244,244,0.0
245,ensBE,demandBE,2030,1,1.0,1.0,245,245,0.0
246,ensBE,demandBE,2030,1,1.0,1.0,246,246,0.0
247,ensBE,demandBE,2030,1,1.0,1.0,247,247,0.0
248,ensBE,demandBE,2030,1,1.0,1.0,248,248,0.0
249,ensBE,demandBE,2030,1,1.0,1.0,249,249,0.0
250,ensBE,demandBE,2030,1,1.0,1.0,250,250,0.0
251,ensBE,demandBE,2030,1,1.0,1.0,251,251,0.0
252,ensBE,demandBE,2030,1,1.0,1.0,252,252,0.0
253,ensBE,demandBE,2030,1,1.0,1.0,253,253,0.0
254,ensBE,demandBE,2030,1,1.0,1.0,254,254,0.0
255,ensBE,demandBE,2030,1,1.0,1.0,255,255,0.0
256,ensBE,demandBE,2030,1,1.0,1.0,256,256,0.0
257,ensBE,demandBE,2030,1,1.0,1.0,257,257,0.0
258,ensBE,demandBE,2030,1,1.0,1.0,258,258,0.0
259,ensBE,demandBE,2030,1,1.0,1.0,259,259,0.0
260,ensBE,demandBE,2030,1,1.0,1.0,260,260,0.0
261,ensBE,demandBE,2030,1,1.0,1.0,261,261,0.0
262,ensBE,demandBE,2030,1,1.0,1.0,262,262,0.0
263,ensBE,demandBE,2030,1,1.0,1.0,263,263,0.0
264,ensBE,demandBE,2030,1,1.0,1.0,264,264,0.0
265,ensBE,demandBE,2030,1,1.0,1.0,265,265,0.0
266,ensBE,demandBE,2030,1,1.0,1.0,266,266,0.0
267,ensBE,demandBE,2030,1,1.0,1.0,267,267,0.0
268,ensBE,demandBE,2030,1,1.0,1.0,268,268,0.0
269,ensBE,demandBE,2030,1,1.0,1.0,269,269,0.0
270,ensBE,demandBE,2030,1,1.0,1.0,270,270,0.0
271,ensBE,demandBE,2030,1,1.0,1.0,271,271,0.0
272,ensBE,demandBE,2030,1,1.0,1.0,272,272,0.0
273,ensBE,demandBE,2030,1,1.0,1.0,273,273,0.0
274,ensBE,demandBE,2030,1,1.0,1.0,274,274,0.0
275,ensBE,demandBE,2030,1,1.0,1.0,275,275,0.0
276,ensBE,demandBE,2030,1,1.0,1.0,276,276,0.0
277,ensBE,demandBE,2030,1,1.0,1.0,277,277,0.0
278,ensBE,demandBE,2030,1,1.0,1.0,278,278,0.0
279,ensBE,demandBE,2030,1,1.0,1.0,279,279,0.0
280,ensBE,demandBE,2030,1,1.0,1.0,280,280,0.0
281,ensBE,demandBE,2030,1,1.0,1.0,281,281,0.0
282,ensBE,demandBE,2030,1,1.0,1.0,282,282,0.0
283,ensBE,demandBE,2030,1,1.0,1.0,283,283,0.0
284,ensBE,demandBE,2030,1,1.0,1.0,284,284,0.0
285,ensBE,demandBE,2030,1,1.0,1.0,285,285,0.0
286,ensBE,demandBE,2030,1,1.0,1.0,286,286,0.0
287,ensBE,demandBE,2030,1,1.0,1.0,287,287,0.0
288,ensBE,demandBE,2030,1,1.0,1.0,288,288,0.0
289,ensBE,demandBE,2030,1,1.0,1.0,289,289,0.0
290,ensBE,demandBE,2030,1,1.0,1.0,290,290,0.0
291,ensBE,demandBE,2030,1,1.0,1.0,291,291,0.0
292,ensBE,demandBE,2030,1,1.0,1.0,292,292,0.0
293,ensBE,demandBE,2030,1,1.0,1.0,293,293,0.0
294,ensBE,demandBE,2030,1,1.0,1.0,294,294,0.0
295,ensBE,demandBE,2030,1,1.0,1.0,295,295,0.0
296,ensBE,demandBE,2030,1,1.0,1.0,296,296,0.0
297,ensBE,demandBE,2030,1,1.0,1.0,297,297,0.0
298,ensBE,demandBE,2030,1,1.0,1.0,298,298,0.0
299,ensBE,demandBE,2030,1,1.0,1.0,299,299,0.0
300,ensBE,demandBE,2030,1,1.0,1.0,300,300,0.0
301,ensBE,demandBE,2030,1,1.0,1.0,301,301,0.0
302,ensBE,demandBE,2030,1,1.0,1.0,302,302,0.0
303,ensBE,demandBE,2030,1,1.0,1.0,303,303,0.0
304,ensBE,demandBE,2030,1,1.0,1.0,304,304,0.0
305,ensBE,demandBE,2030,1,1.0,1.0,305,305,0.0
306,ensBE,demandBE,2030,1,1.0,1.0,306,306,0.0
307,ensBE,demandBE,2030,1,1.0,1.0,307,307,0.0
308,ensBE,demandBE,2030,1,1.0,1.0,308,308,0.0
309,ensBE,demandBE,2030,1,1.0,1.0,309,309,0.0
310,ensBE,demandBE,2030,1,1.0,1.0,310,310,0.0
311,ensBE,demandBE,2030,1,1.0,1.0,311,311,0.0
312,ensBE,demandBE,2030,1,1.0,1.0,312,312,0.0
313,ensBE,demandBE,2030,1,1.0,1.0,313,313,0.0
314,ensBE,demandBE,2030,1,1.0,1.0,314,314,0.0
315,ensBE,demandBE,2030,1,1.0,1.0,315,315,0.0
316,ensBE,demandBE,2030,1,1.0,1.0,316,316,0.0
317,ensBE,demandBE,2030,1,1.0,1.0,317,317,0.0
318,ensBE,demandBE,2030,1,1.0,1.0,318,318,0.0
319,ensBE,demandBE,2030,1,1.0,1.0,319,319,0.0
320,ensBE,demandBE,2030,1,1.0,1.0,320,320,0.0
321,ensBE,demandBE,2030,1,1.0,1.0,321,321,0.0
322,ensBE,demandBE,2030,1,1.0,1.0,322,322,0.0
323,ensBE,demandBE,2030,1,1.0,1.0,323,323,0.0
324,ensBE,demandBE,2030,1,1.0,1.0,324,324,0.0
325,ensBE,demandBE,2030,1,1.0,1.0,325,325,0.0
326,ensBE,demandBE,2030,1,1.0,1.0,326,326,0.0
327,ensBE,demandBE,2030,1,1.0,1.0,327,327,0.0
328,ensBE,demandBE,2030,1,1.0,1.0,328,328,0.0
329,ensBE,demandBE,2030,1,1.0,1.0,329,329,0.0
330,ensBE,demandBE,2030,1,1.0,1.0,330,330,0.0
331,ensBE,demandBE,2030,1,1.0,1.0,331,331,0.0
332,ensBE,demandBE,2030,1,1.0,1.0,332,332,0.0
333,ensBE,demandBE,2030,1,1.0,1.0,333,333,0.0
334,ensBE,demandBE,2030,1,1.0,1.0,334,334,0.0
335,ensBE,demandBE,2030,1,1.0,1.0,335,335,0.0
336,ensBE,demandBE,2030,1,1.0,1.0,336,336,0.0
337,ensBE,demandBE,2030,1,1.0,1.0,337,337,0.0
338,ensBE,demandBE,2030,1,1.0,1.0,338,338,0.0
339,ensBE,demandBE,2030,1,1.0,1.0,339,339,0.0
340,ensBE,demandBE,2030,1,1.0,1.0,340,340,0.0
341,ensBE,demandBE,2030,1,1.0,1.0,341,341,0.0
342,ensBE,demandBE,2030,1,1.0,1.0,342,342,0.0
343,ensBE,demandBE,2030,1,1.0,1.0,343,343,0.0
344,ensBE,demandBE,2030,1,1.0,1.0,344,344,0.0
345,ensBE,demandBE,2030,1,1.0,1.0,345,345,0.0
346,ensBE,demandBE,2030,1,1.0,1.0,346,346,0.0
347,ensBE,demandBE,2030,1,1.0,1.0,347,347,0.0
348,ensBE,demandBE,2030,1,1.0,1.0,348,348,0.0
349,ensBE,demandBE,2030,1,1.0,1.0,349,349,0.0
350,ensBE,demandBE,2030,1,1.0,1.0,350,350,0.0
351,ensBE,demandBE,2030,1,1.0,1.0,351,351,0.0
352,ensBE,demandBE,2030,1,1.0,1.0,352,352,0.0
353,ensBE,demandBE,2030,1,1.0,1.0,353,353,0.0
354,ensBE,demandBE,2030,1,1.0,1.0,354,354,0.0
355,ensBE,demandBE,2030,1,1.0,1.0,355,355,0.0
356,ensBE,demandBE,2030,1,1.0,1.0,356,356,0.0
357,ensBE,demandBE,2030,1,1.0,1.0,357,357,0.0
358,ensBE,demandBE,2030,1,1.0,1.0,358,358,0.0
359,ensBE,demandBE,2030,1,1.0,1.0,359,359,0.0
360,ensBE,demandBE,2030,1,1.0,1.0,360,360,0.0
361,ensBE,demandBE,2030,1,1.0,1.0,361,361,0.0
362,ensBE,demandBE,2030,1,1.0,1.0,362,362,0.0
363,ensBE,demandBE,2030,1,1.0,1.0,363,363,0.0
364,ensBE,demandBE,2030,1,1.0,1.0,364,364,0.0
365,ensBE,demandBE,2030,1,1.0,1.0,365,365,0.0
366,ensBE,demandBE,2030,1,1.0,1.0,366,366,0.0
367,ensBE,demandBE,2030,1,1.0,1.0,367,367,0.0
368,ensBE,demandBE,2030,1,1.0,1.0,368,368,0.0
369,ensBE,demandBE,2030,1,1.0,1.0,369,369,0.0
370,ensBE,demandBE,2030,1,1.0,1.0,370,370,0.0
371,ensBE,demandBE,2030,1,1.0,1.0,371,371,0.0
372,ensBE,demandBE,2030,1,1.0,1.0,372,372,0.0
373,ensBE,demandBE,2030,1,1.0,1.0,373,373,0.0
374,ensBE,demandBE,2030,1,1.0,1.0,374,374,0.0
375,ensBE,demandBE,2030,1,1.0,1.0,375,375,0.0
376,ensBE,demandBE,2030,1,1.0,1.0,376,376,0.0
377,ensBE,demandBE,2030,1,1.0,1.0,377,377,0.0
378,ensBE,demandBE,2030,1,1.0,1.0,378,378,0.0
379,ensBE,demandBE,2030,1,1.0,1.0,379,379,0.0
380,ensBE,demandBE,2030,1,1.0,1.0,380,380,0.0
381,ensBE,demandBE,2030,1,1.0,1.0,381,381,0.0
382,ensBE,demandBE,2030,1,1.0,1.0,382,382,0.0
383,ensBE,demandBE,2030,1,1.0,1.0,383,383,0.0
384,ensBE,demandBE,2030,1,1.0,1.0,384,384,0.0
385,ensBE,demandBE,2030,1,1.0,1.0,385,385,0.0
386,ensBE,demandBE,2030,1,1.0,1.0,386,386,0.0
387,ensBE,demandBE,2030,1,1.0,1.0,387,387,0.0
388,ensBE,demandBE,2030,1,1.0,1.0,388,388,0.0
389,ensBE,demandBE,2030,1,1.0,1.0,389,389,0.0
390,ensBE,demandBE,2030,1,1.0,1.0,390,390,0.0
391,ensBE,demandBE,2030,1,1.0,1.0,391,391,0.0
392,ensBE,demandBE,2030,1,1.0,1.0,392,392,0.0
393,ensBE,demandBE,2030,1,1.0,1.0,393,393,0.0
394,ensBE,demandBE,2030,1,1.0,1.0,394,394,0.0
395,ensBE,demandBE,2030,1,1.0,1.0,395,395,0.0
396,ensBE,demandBE,2030,1,1.0,1.0,396,396,0.0
397,ensBE,demandBE,2030,1,1.0,1.0,397,397,0.0
398,ensBE,demandBE,2030,1,1.0,1.0,398,398,0.0
399,ensBE,demandBE,2030,1,1.0,1.0,399,399,0.0
400,ensBE,demandBE,2030,1,1.0,1.0,400,400,0.0
401,ensBE,demandBE,2030,1,1.0,1.0,401,401,0.0
402,ensBE,demandBE,2030,1,1.0,1.0,402,402,0.0
403,ensBE,demandBE,2030,1,1.0,1.0,403,403,0.0
404,ensBE,demandBE,2030,1,1.0,1.0,404,404,0.0
405,ensBE,demandBE,2030,1,1.0,1.0,405,405,0.0
406,ensBE,demandBE,2030,1,1.0,1.0,406,406,0.0
407,ensBE,demandBE,2030,1,1.0,1.0,407,407,0.0
408,ensBE,demandBE,2030,1,1.0,1.0,408,408,0.0
409,ensBE,demandBE,2030,1,1.0,1.0,409,409,0.0
410,ensBE,demandBE,2030,1,1.0,1.0,410,410,0.0
411,ensBE,demandBE,2030,1,1.0,1.0,411,411,0.0
412,ensBE,demandBE,2030,1,1.0,1.0,412,412,0.0
413,ensBE,demandBE,2030,1,1.0,1.0,413,413,0.0
414,ensBE,demandBE,2030,1,1.0,1.0,414,414,0.0
415,ensBE,demandBE,2030,1,1.0,1.0,415,415,0.0
416,ensBE,demandBE,2030,1,1.0,1.0,416,416,0.0
417,ensBE,demandBE,2030,1,1.0,1.0,417,417,0.0
418,ensBE,demandBE,2030,1,1.0,1.0,418,418,0.0
419,ensBE,demandBE,2030,1,1.0,1.0,419,419,0.0
420,ensBE,demandBE,2030,1,1.0,1.0,420,420,0.0
