──────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
                                                                                                                                             Time                    Allocations      
                                                                                                                                    ───────────────────────   ────────────────────────
                                                         Tot / % measured:                                                             5124075h /   0.0%          5.83GiB /  71.0%    

Section                                                                                                                     ncalls     time    %tot     avg     alloc    %tot      avg
      valid schema's oneOf constraints                                                                                           1    189ms    0.5%   189ms   16.4MiB    0.4%  16.4MiB
      data consistency for simple investment                                                                                     1    114ms    0.3%   114ms   5.08MiB    0.1%  5.08MiB
      has all tables and columns                                                                                                 1    102ms    0.2%   102ms   1.74MiB    0.0%  1.74MiB
      check DC OPF data                                                                                                          1   74.5ms    0.2%  74.5ms   2.21MiB    0.1%  2.21MiB
      investable storage assets using binary method should have investment limit > 0                                             1   72.7ms    0.2%  72.7ms   6.27MiB    0.1%  6.27MiB
      consistency between asset types and investment methods                                                                     1   70.5ms    0.2%  70.5ms   1.67MiB    0.0%  1.67MiB
      group consistency between tables                                                                                           1   53.7ms    0.1%  53.7ms   6.48MiB    0.2%  6.48MiB
      flow_both only contain transport flows                                                                                     1   30.2ms    0.1%  30.2ms   1.91MiB    0.0%  1.91MiB
      only transport flows are investable                                                                                        1   25.0ms    0.1%  25.0ms   1.43MiB    0.0%  1.43MiB
    create_highest_resolution_table                                                                                              1    628ms    1.5%   628ms   8.87KiB    0.0%  8.87KiB
    create_unrolled_partition_tables                                                                                             1    614ms    1.5%   614ms   12.9MiB    0.3%  12.9MiB
    create_merged_tables                                                                                                         1    462ms    1.1%   462ms   6.37KiB    0.0%  6.37KiB
  prepare_profiles_structure                                                                                                     1    369ms    0.9%   369ms   30.4MiB    0.7%  30.4MiB
  compute_constraints_indices                                                                                                    1    138ms    0.3%   138ms   1.60MiB    0.0%  1.60MiB
  compute_variables_indices                                                                                                      1    101ms    0.2%   101ms   29.0KiB    0.0%  29.0KiB
save_solution!                                                                                                                   1    4.83s   11.7%   4.83s    717MiB   16.9%   717MiB
  compute_dual_variables                                                                                                         1    2.27s    5.5%   2.27s   45.8MiB    1.1%  45.8MiB
export_solution_to_csv_files                                                                                                     1    701ms    1.7%   701ms   4.20KiB    0.0%  4.20KiB
──────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
